,Rule,Confidence,Support,Lift
341,"(""'T1547.001'"", ""'T1566.001'"") -> (""'T1204.002'"",)",0.9827586206896552,0.07640750670241286,5.471178589809573
1446,"(""'T1059.003'"", ""'T1105'"", ""'T1566.001'"") -> (""'T1204.002'"",)",0.981132075471698,0.06970509383378018,5.462123345536469
1258,"(""'T1027'"", ""'T1547.001'"", ""'T1566.001'"") -> (""'T1204.002'"",)",0.98,0.06568364611260054,5.455820895522388
326,"(""'T1140'"", ""'T1566.001'"") -> (""'T1204.002'"",)",0.98,0.06568364611260054,5.455820895522388
1597,"(""'T1071.001'"", ""'T1105'"", ""'T1566.001'"") -> (""'T1204.002'"",)",0.979591836734694,0.064343163538874,5.453548583612549
1784,"(""'T1059.003'"", ""'T1082'"", ""'T1113'"") -> (""'T1105'"",)",0.9791666666666666,0.06300268096514745,1.8729700854700853
807,"(""'T1033'"", ""'T1518.001'"") -> (""'T1082'"",)",0.9791666666666666,0.06300268096514745,2.2475641025641027
2471,"(""'T1027'"", ""'T1082'"", ""'T1566.001'"") -> (""'T1204.002'"",)",0.9791666666666666,0.06300268096514745,5.451181592039801
1543,"(""'T1105'"", ""'T1547.001'"", ""'T1566.001'"") -> (""'T1204.002'"",)",0.9782608695652174,0.060321715817694375,5.446138870863075
1657,"(""'T1059.001'"", ""'T1105'"", ""'T1566.001'"") -> (""'T1204.002'"",)",0.9782608695652174,0.060321715817694375,5.446138870863075
333,"(""'T1204.001'"", ""'T1204.002'"") -> (""'T1566.002'"",)",0.9777777777777776,0.05898123324396784,13.025396825396824
1213,"(""'T1027'"", ""'T1140'"", ""'T1566.001'"") -> (""'T1204.002'"",)",0.9772727272727272,0.05764075067024128,5.440637720488466
747,"(""'T1027'"", ""'T1204.001'"") -> (""'T1566.002'"",)",0.9767441860465116,0.05630026809651475,13.011627906976745
343,"(""'T1566.001'"", ""'T1566.002'"") -> (""'T1204.002'"",)",0.9767441860465116,0.05630026809651475,5.437695244706699
1280,"(""'T1033'"", ""'T1105'"", ""'T1518.001'"") -> (""'T1082'"",)",0.9761904761904762,0.054959785522788206,2.240732600732601
1567,"(""'T1071.001'"", ""'T1082'"", ""'T1566.001'"") -> (""'T1204.002'"",)",0.9761904761904762,0.054959785522788206,5.4346126510305615
1204,"(""'T1033'"", ""'T1057'"", ""'T1140'"") -> (""'T1082'"",)",0.975,0.05227882037533512,2.238
1594,"(""'T1071.001'"", ""'T1547.001'"", ""'T1566.001'"") -> (""'T1204.002'"",)",0.975,0.05227882037533512,5.427985074626867
1468,"(""'T1059.003'"", ""'T1547.001'"", ""'T1566.001'"") -> (""'T1204.002'"",)",0.975,0.05227882037533512,5.427985074626867
2718,"(""'T1057'"", ""'T1204.002'"", ""'T1547.001'"") -> (""'T1027'"",)",0.9743589743589745,0.05093833780160858,2.3002271989613763
1247,"(""'T1033'"", ""'T1041'"", ""'T1083'"") -> (""'T1082'"",)",0.9743589743589745,0.05093833780160858,2.236528599605523
1528,"(""'T1082'"", ""'T1140'"", ""'T1566.001'"") -> (""'T1204.002'"",)",0.9743589743589745,0.05093833780160858,5.4244163796402605
1291,"(""'T1033'"", ""'T1083'"", ""'T1140'"") -> (""'T1082'"",)",0.9743589743589745,0.05093833780160858,2.236528599605523
1243,"(""'T1033'"", ""'T1041'"", ""'T1083'"") -> (""'T1105'"",)",0.9743589743589745,0.05093833780160858,1.8637738330046023
1551,"(""'T1083'"", ""'T1105'"", ""'T1566.001'"") -> (""'T1204.002'"",)",0.9743589743589745,0.05093833780160858,5.4244163796402605
1381,"(""'T1033'"", ""'T1071.001'"", ""'T1113'"") -> (""'T1082'"",)",0.9743589743589745,0.05093833780160858,2.236528599605523
1359,"(""'T1033'"", ""'T1071.001'"", ""'T1113'"") -> (""'T1105'"",)",0.9743589743589745,0.05093833780160858,1.8637738330046023
1436,"(""'T1070.004'"", ""'T1105'"", ""'T1566.001'"") -> (""'T1204.002'"",)",0.9743589743589745,0.05093833780160858,5.4244163796402605
751,"(""'T1027'"", ""'T1566.001'"") -> (""'T1204.002'"",)",0.972972972972973,0.096514745308311,5.416700282371924
1344,"(""'T1033'"", ""'T1059.003'"", ""'T1083'"") -> (""'T1082'"",)",0.9682539682539684,0.08176943699731902,2.2225152625152624
1853,"(""'T1016'"", ""'T1033'"", ""'T1083'"") -> (""'T1082'"",)",0.967741935483871,0.08042895442359249,2.2213399503722084
1373,"(""'T1033'"", ""'T1071.001'"", ""'T1083'"") -> (""'T1082'"",)",0.967741935483871,0.08042895442359249,2.2213399503722084
1938,"(""'T1016'"", ""'T1033'"", ""'T1057'"") -> (""'T1082'"",)",0.9672131147540984,0.07908847184986595,2.220126103404792
803,"(""'T1033'"", ""'T1113'"") -> (""'T1082'"",)",0.9661016949152542,0.07640750670241286,2.217574967405476
445,"(""'T1071.001'"", ""'T1566.001'"") -> (""'T1204.002'"",)",0.9655172413793104,0.07506702412868632,5.375193000514669
2612,"(""'T1027'"", ""'T1033'"", ""'T1083'"") -> (""'T1082'"",)",0.9649122807017544,0.07372654155495978,2.214844804318488
149,"(""'T1059.001'"", ""'T1566.001'"") -> (""'T1204.002'"",)",0.9649122807017544,0.07372654155495978,5.371825085100812
