,TTPs
191,"'T1105', 'T1082', 'T1036.005', 'T1106', 'T1543.003', 'T1573.001', 'T1095', 'T1083', 'T1057', 'T1574.002', 'T1036.004', 'T1059.003', 'T1005', 'T1547.001', 'T1070.004'"
192,"'T1123', 'T1553.002', 'T1113', 'T1053.003'"
193,"'T1083', 'T1140', 'T1059.003', 'T1543.003', 'T1070.004', 'T1055', 'T1090', 'T1105', 'T1027'"
194,"'T1560', 'T1573.001'"
195,"'T1083', 'T1082', 'T1059.003', 'T1547.001', 'T1562.004', 'T1057', 'T1056.001', 'T1518.001', 'T1113', 'T1105'"
196,"'T1566.001', 'T1059.003', 'T1057', 'T1083', 'T1082', 'T1070.004', 'T1016', 'T1132.002'"
197,"'T1016', 'T1048.003', 'T1562.001', 'T1057', 'T1083', 'T1082', 'T1012'"
198,"'T1074.001', 'T1106', 'T1071.001', 'T1057', 'T1573.001', 'T1070.004', 'T1053.005', 'T1005', 'T1555.004', 'T1027', 'T1113', 'T1095', 'T1140', 'T1083', 'T1574.002', 'T1007', 'T1543.003', 'T1036.005', 'T1059.003', 'T1008', 'T1090', 'T1036.004', 'T1567.002', 'T1105', 'T1555.003'"
199,"'T1105', 'T1027', 'T1553.002', 'T1140', 'T1574.002'"
200,"'T1083', 'T1547.001', 'T1030', 'T1005', 'T1566.001', 'T1074.001', 'T1106', 'T1560.001', 'T1218.010', 'T1204.002', 'T1140', 'T1025', 'T1134', 'T1070.004', 'T1082', 'T1036.005', 'T1016', 'T1027', 'T1119', 'T1041', 'T1036', 'T1071.001', 'T1027.002', 'T1560', 'T1113', 'T1056.001', 'T1567', 'T1008', 'T1124', 'T1059.007', 'T1057', 'T1059.001'"
201,"'T1105', 'T1569.001', 'T1027.008', 'T1562.001', 'T1027.009', 'T1497.001', 'T1543.001', 'T1057', 'T1059.002', 'T1082'"
202,"'T1102.002', 'T1071.001', 'T1105'"
203,"'T1027.002', 'T1095', 'T1547.001', 'T1082', 'T1204.002', 'T1560', 'T1027', 'T1055', 'T1057', 'T1010', 'T1102', 'T1056.001', 'T1055.012', 'T1106', 'T1566.002', 'T1119', 'T1547.015', 'T1053.003', 'T1059.001', 'T1053.005', 'T1564.001', 'T1090', 'T1555', 'T1573.001', 'T1059.003', 'T1036.005', 'T1560.003', 'T1543.001', 'T1113', 'T1112', 'T1059.004', 'T1059.005', 'T1547.013', 'T1566.001', 'T1105', 'T1074.001', 'T1573', 'T1016', 'T1555.003', 'T1204.001', 'T1036.001', 'T1049', 'T1083', 'T1071.001'"
204,"'T1106', 'T1059.003', 'T1036.005', 'T1008', 'T1112', 'T1105', 'T1071.001', 'T1005', 'T1029', 'T1573.002', 'T1012', 'T1036.004', 'T1569.002'"
205,"'T1059.001', 'T1047', 'T1562.004', 'T1059.006', 'T1033', 'T1036.005', 'T1070.004', 'T1059.003', 'T1049', 'T1140', 'T1027'"
206,"'T1106', 'T1087.001', 'T1573.001', 'T1112', 'T1078.001', 'T1559'"
207,"'T1564.001', 'T1555.001', 'T1016', 'T1056.002', 'T1037.004', 'T1057', 'T1560.001'"
208,"'T1567.002', 'T1071.001', 'T1001.002', 'T1059.001', 'T1102.003', 'T1564.003', 'T1573.001'"
209,"'T1555', 'T1027', 'T1555.003', 'T1071.003', 'T1071.001', 'T1036.005'"
210,"'T1053.005', 'T1110.003', 'T1218.011', 'T1106', 'T1486', 'T1003.001', 'T1569.002', 'T1057', 'T1036.005', 'T1204.002', 'T1210', 'T1495', 'T1189', 'T1135', 'T1548.002'"
211,"'T1114.001', 'T1039', 'T1056.001', 'T1113', 'T1003.002', 'T1005', 'T1555', 'T1053.005', 'T1071.001', 'T1025', 'T1115', 'T1573.001', 'T1003.004', 'T1083', 'T1555.003', 'T1068', 'T1048.003', 'T1020', 'T1543.003'"
212,"'T1113', 'T1125', 'T1123', 'T1056.001', 'T1547.001'"
213,"'T1027.006', 'T1140', 'T1027', 'T1187', 'T1059.007', 'T1218.011', 'T1082', 'T1566.001', 'T1059.003', 'T1036', 'T1480', 'T1005', 'T1564.001', 'T1204.002'"
214,"'T1056.001', 'T1134', 'T1082', 'T1033', 'T1562.001', 'T1036.005', 'T1547.001', 'T1547.009', 'T1008'"
215,"'T1218.011', 'T1056.001', 'T1105', 'T1055.002', 'T1059.003', 'T1027.002', 'T1573.001', 'T1003.001', 'T1553.002', 'T1543.003', 'T1112', 'T1007', 'T1027', 'T1070.004', 'T1090.003', 'T1071.001', 'T1573.002'"
216,
217,"'T1055.001', 'T1010', 'T1016', 'T1083', 'T1057', 'T1071.001', 'T1025', 'T1082', 'T1049', 'T1095', 'T1070.004', 'T1134.001', 'T1105', 'T1134.002', 'T1140', 'T1106', 'T1113', 'T1090', 'T1568.002', 'T1033', 'T1560', 'T1547.001', 'T1027'"
218,"'T1059.001', 'T1560', 'T1078.003', 'T1041', 'T1094', 'T1027.002', 'T1114.001', 'T1204.002', 'T1059.003', 'T1204.001', 'T1047', 'T1110.001', 'T1027', 'T1053.005', 'T1573.002', 'T1055.001', 'T1571', 'T1059.005', 'T1003.001', 'T1021.002', 'T1566.002', 'T1566.001', 'T1552.001', 'T1057', 'T1210', 'T1065', 'T1543.003', 'T1040', 'T1087.003', 'T1547.001', 'T1555.003'"
219,"'T1071.001', 'T1573.001', 'T1547.001', 'T1059.003'"
220,"'T1569.002', 'T1018', 'T1070.001', 'T1489', 'T1021.002', 'T1570', 'T1485', 'T1135', 'T1003.001', 'T1047', 'T1555.003', 'T1016', 'T1529', 'T1490'"
221,"'T1041', 'T1114.001', 'T1120', 'T1059.003', 'T1518.001', 'T1113', 'T1095', 'T1082', 'T1012', 'T1070.004', 'T1140', 'T1123', 'T1025', 'T1083', 'T1547.001', 'T1105', 'T1071.001', 'T1112', 'T1094', 'T1497.003', 'T1555.003', 'T1057', 'T1614', 'T1125', 'T1033', 'T1056.001', 'T1124', 'T1005', 'T1016', 'T1091'"
222,"'T1053.005', 'T1071.001', 'T1041', 'T1005', 'T1105', 'T1027.002', 'T1497.003', 'T1568'"
223,"'T1012', 'T1112', 'T1036.005', 'T1027', 'T1140', 'T1543.003'"
224,"'T1560.001', 'T1083', 'T1071.001', 'T1082', 'T1113', 'T1105', 'T1140', 'T1059.004', 'T1001.001', 'T1036.004', 'T1547.001', 'T1059.006', 'T1027', 'T1016', 'T1074.001', 'T1033', 'T1059.003', 'T1120'"
225,"'T1027.002', 'T1560.003', 'T1083', 'T1025', 'T1070.004', 'T1049', 'T1005', 'T1547.001', 'T1074.001', 'T1036.004', 'T1123', 'T1059.006', 'T1564.001', 'T1115', 'T1036.005', 'T1560', 'T1217', 'T1071.002', 'T1120', 'T1552.004', 'T1071.001', 'T1029', 'T1041', 'T1125', 'T1573.001', 'T1105', 'T1057', 'T1082', 'T1555.003', 'T1132.001', 'T1573.002', 'T1010', 'T1008', 'T1020', 'T1056.001', 'T1016', 'T1027', 'T1052.001', 'T1053.005', 'T1113', 'T1140'"
226,"'T1105', 'T1217', 'T1140', 'T1074.001', 'T1056.001', 'T1573', 'T1059.001', 'T1005', 'T1560'"
227,"'T1105', 'T1083', 'T1140', 'T1082', 'T1016', 'T1033', 'T1005', 'T1071.001', 'T1047', 'T1027', 'T1059.003', 'T1518.001'"
228,"'T1082', 'T1057', 'T1083', 'T1071.001', 'T1027.003', 'T1140', 'T1518.001', 'T1055', 'T1105', 'T1027', 'T1016'"
229,"'T1056.001', 'T1113', 'T1560', 'T1033', 'T1016', 'T1555', 'T1555.003', 'T1132.001', 'T1083', 'T1025', 'T1120', 'T1218.011', 'T1547.001', 'T1518.001', 'T1027', 'T1074.001', 'T1082', 'T1070.004', 'T1573.001', 'T1574.001'"
230,"'T1036.004', 'T1573.001', 'T1095', 'T1071.001', 'T1571', 'T1140', 'T1543.003', 'T1083', 'T1016', 'T1082', 'T1070.006', 'T1041', 'T1132.001', 'T1059.003', 'T1005'"
231,"'T1059.003', 'T1132.001', 'T1140', 'T1001.001', 'T1005', 'T1071.001', 'T1033', 'T1069.002', 'T1016', 'T1573.001', 'T1071.004', 'T1059.001', 'T1082', 'T1105', 'T1573.002'"
232,"'T1543.004', 'T1071.001', 'T1083', 'T1057', 'T1543.001', 'T1036', 'T1027', 'T1564.001', 'T1105'"
233,"'T1105', 'T1059.003', 'T1567', 'T1140', 'T1059.006', 'T1614.001', 'T1102', 'T1083', 'T1082'"
234,"'T1105', 'T1082', 'T1102.002', 'T1189'"
235,"'T1105', 'T1566.002', 'T1059.003', 'T1059.005', 'T1033', 'T1016', 'T1059.001', 'T1140', 'T1082', 'T1071.001', 'T1027.002', 'T1132.001', 'T1027', 'T1218.011', 'T1204.002', 'T1566.001', 'T1560.003', 'T1218.010', 'T1204.001', 'T1497', 'T1041'"
236,"'T1083', 'T1057', 'T1071.001'"
237,"'T1218.011', 'T1106', 'T1027', 'T1102.001', 'T1140', 'T1105', 'T1112', 'T1071.001', 'T1027.003'"
238,"'T1095', 'T1078.003', 'T1014', 'T1205', 'T1059.003'"
239,"'T1547.001', 'T1033', 'T1082', 'T1059.003', 'T1518.001', 'T1071.001', 'T1074.001', 'T1005', 'T1041', 'T1095'"
240,"'T1611', 'T1070.004', 'T1219', 'T1543.002', 'T1140', 'T1105', 'T1071', 'T1562.001', 'T1036.004', 'T1068', 'T1027', 'T1552.001', 'T1082', 'T1027.002', 'T1136.001', 'T1059.004', 'T1574.006', 'T1552.004', 'T1046', 'T1102', 'T1133', 'T1613', 'T1496', 'T1552.005', 'T1070.003', 'T1609', 'T1014'"
241,"'T1105', 'T1016', 'T1033', 'T1052.001', 'T1560.003', 'T1091'"
242,"'T1105', 'T1082', 'T1102.002'"
243,"'T1105', 'T1082', 'T1113'"
244,"'T1105', 'T1055.001', 'T1573.001', 'T1041', 'T1036', 'T1071.004', 'T1095', 'T1568.002', 'T1033', 'T1560.003', 'T1074.001', 'T1070.004', 'T1027', 'T1057', 'T1106', 'T1007', 'T1005', 'T1573.002', 'T1083', 'T1564.010', 'T1090', 'T1082', 'T1124', 'T1140'"
245,"'T1027', 'T1094'"
246,"'T1074.001', 'T1083', 'T1547.001', 'T1005', 'T1025', 'T1560.003'"
247,"'T1082', 'T1518.001', 'T1047', 'T1005', 'T1056', 'T1113', 'T1547.001', 'T1071.001', 'T1218.007', 'T1120', 'T1115', 'T1573.001', 'T1070.004', 'T1069.001', 'T1105', 'T1059.003', 'T1218.011', 'T1033', 'T1056.001', 'T1041', 'T1059.001', 'T1001'"
248,"'T1083', 'T1105', 'T1027.002', 'T1140'"
249,"'T1033', 'T1016', 'T1027', 'T1566.001', 'T1082', 'T1547.001', 'T1573.001', 'T1204.002', 'T1027.001'"
250,"'T1016.001', 'T1543.003', 'T1571', 'T1095', 'T1059.003'"
251,"'T1090', 'T1571', 'T1047', 'T1082', 'T1055', 'T1041', 'T1012', 'T1550.002', 'T1083', 'T1569.002', 'T1132.001', 'T1124', 'T1112', 'T1008', 'T1562.004', 'T1065', 'T1059.003', 'T1105', 'T1003.002'"
252,"'T1102', 'T1106', 'T1071.001', 'T1204.001', 'T1566.002', 'T1497.003', 'T1204.002', 'T1070.004', 'T1497.001', 'T1055', 'T1547.001', 'T1105'"
253,"'T1217', 'T1065', 'T1105', 'T1041', 'T1057', 'T1032', 'T1083', 'T1082', 'T1005'"
254,"'T1140', 'T1027', 'T1569.002', 'T1027.001', 'T1497.001', 'T1059.003', 'T1543.003', 'T1490', 'T1564.004', 'T1135', 'T1564.001', 'T1548.002', 'T1112', 'T1083', 'T1012', 'T1574.001', 'T1120', 'T1486', 'T1222.001', 'T1106'"
255,"'T1027', 'T1102.002', 'T1027.003', 'T1105', 'T1112', 'T1140', 'T1059.001', 'T1546.003'"
256,"'T1197', 'T1070.004', 'T1486', 'T1068', 'T1490', 'T1047', 'T1027.003'"
257,"'T1574.001', 'T1074.001', 'T1132.002', 'T1497.001', 'T1573.001', 'T1480.001', 'T1036.004', 'T1569.002', 'T1218.002', 'T1105', 'T1106', 'T1119', 'T1055.002', 'T1548.002', 'T1012', 'T1082', 'T1046', 'T1070.005', 'T1562.004', 'T1204.002', 'T1135', 'T1055.015', 'T1071.004', 'T1027.005', 'T1070.006', 'T1560.003', 'T1560.001', 'T1057', 'T1033', 'T1123', 'T1071.001', 'T1518', 'T1090.002', 'T1564.003', 'T1543.003', 'T1055', 'T1005', 'T1059.007', 'T1056.001', 'T1070.004', 'T1036.005', 'T1210', 'T1124', 'T1087.001', 'T1095', 'T1007', 'T1140', 'T1559.001', 'T1564.001', 'T1010', 'T1560.002', 'T1112', 'T1094', 'T1059.003', 'T1027', 'T1490', 'T1125', 'T1547.009', 'T1547.001', 'T1518.001', 'T1203', 'T1090.001', 'T1055.004', 'T1053.005', 'T1025', 'T1001.003', 'T1008', 'T1016', 'T1068', 'T1080', 'T1113', 'T1218.011', 'T1083'"
258,"'T1087.001', 'T1518', 'T1140', 'T1105', 'T1059', 'T1505.003', 'T1222.002', 'T1027', 'T1005', 'T1110.001', 'T1070.004', 'T1071.001', 'T1213', 'T1046', 'T1083'"
259,"'T1094', 'T1082', 'T1543.003', 'T1016', 'T1112'"
260,"'T1083', 'T1027', 'T1082', 'T1065', 'T1012', 'T1140', 'T1036.004', 'T1070.004', 'T1112', 'T1049', 'T1016', 'T1543.003', 'T1094', 'T1106', 'T1007', 'T1059.003', 'T1057', 'T1573.001', 'T1573.002', 'T1105'"
261,"'T1057', 'T1083', 'T1033', 'T1082', 'T1010', 'T1059', 'T1007'"
262,"'T1071.001', 'T1140', 'T1059.001', 'T1055.012', 'T1102', 'T1561.001', 'T1485', 'T1218.004', 'T1134.002', 'T1027', 'T1105', 'T1497.003', 'T1518.001', 'T1070.004', 'T1059.005', 'T1542.003', 'T1561.002', 'T1135', 'T1529', 'T1036', 'T1106', 'T1083', 'T1082', 'T1562.001', 'T1059.003', 'T1497.001', 'T1569.002'"
263,"'T1083', 'T1113', 'T1027', 'T1543.001', 'T1070.004', 'T1564.001', 'T1057'"
264,"'T1027', 'T1140', 'T1105', 'T1082', 'T1543.003', 'T1016', 'T1027.002', 'T1548.002', 'T1027.001', 'T1573.001', 'T1574.002', 'T1001.002', 'T1071.001'"
265,"'T1036.006', 'T1555.002', 'T1090.003', 'T1548.001', 'T1564.009', 'T1071.001', 'T1543.001', 'T1056.002', 'T1059.006'"
266,"'T1071.003', 'T1132.002', 'T1070.004', 'T1008', 'T1041', 'T1071.004', 'T1105', 'T1001.002', 'T1573.001', 'T1036.004', 'T1059.003', 'T1027.003', 'T1071.001', 'T1036.005', 'T1113', 'T1030', 'T1132.001', 'T1001', 'T1543.003', 'T1140'"
267,"'T1542.001', 'T1019', 'T1014'"
268,"'T1083', 'T1057', 'T1547.006', 'T1036.005', 'T1059.004', 'T1496', 'T1014', 'T1082', 'T1027', 'T1556.003', 'T1140', 'T1518.001', 'T1098.004', 'T1562.001', 'T1053.003', 'T1105'"
269,"'T1560.003', 'T1497.001', 'T1124', 'T1070.004', 'T1082', 'T1056.001', 'T1033', 'T1003.005', 'T1090.002', 'T1041', 'T1569.002', 'T1071.001', 'T1543.003', 'T1049', 'T1027.003', 'T1053.005', 'T1105', 'T1140', 'T1134.001', 'T1036.004', 'T1547.009', 'T1003.001', 'T1497.002', 'T1059.003', 'T1132.001', 'T1564.001', 'T1001.003', 'T1547.001', 'T1573.001', 'T1497.003', 'T1560.001', 'T1083', 'T1016'"
270,"'T1095', 'T1564.005', 'T1112', 'T1056.001', 'T1071', 'T1040', 'T1071.001', 'T1036.001', 'T1564.004', 'T1094', 'T1090.002', 'T1021.002'"
271,"'T1573.001', 'T1057', 'T1496', 'T1059', 'T1105', 'T1082', 'T1016', 'T1033', 'T1554'"
272,"'T1027.001', 'T1059.003', 'T1486', 'T1070.004', 'T1027'"
273,"'T1005', 'T1559.001', 'T1614.001', 'T1082', 'T1016', 'T1070', 'T1016.001', 'T1071.001', 'T1105', 'T1033', 'T1112'"
274,"'T1027', 'T1018', 'T1490', 'T1489', 'T1106', 'T1140', 'T1057', 'T1059.003', 'T1021.002', 'T1049', 'T1486', 'T1135', 'T1016', 'T1083', 'T1055.001', 'T1080'"
275,"'T1105', 'T1053.005', 'T1569.002'"
276,"'T1135', 'T1486', 'T1027.003', 'T1021.002', 'T1027', 'T1485', 'T1562.001', 'T1057', 'T1106', 'T1016', 'T1491.001', 'T1489', 'T1033', 'T1071.001', 'T1490', 'T1083', 'T1105', 'T1018', 'T1082'"
277,"'T1027', 'T1027.002', 'T1036.005', 'T1036', 'T1497.003', 'T1027.003', 'T1140'"
278,"'T1083', 'T1057', 'T1041', 'T1611', 'T1102', 'T1568.002', 'T1610', 'T1573.002', 'T1133', 'T1036.005', 'T1105', 'T1020', 'T1059.004', 'T1071.001'"
279,"'T1059.003', 'T1071.004'"
280,"'T1069', 'T1059.003', 'T1611', 'T1071', 'T1090.003', 'T1190', 'T1609', 'T1140', 'T1106', 'T1027', 'T1134.001', 'T1518', 'T1068', 'T1083'"
281,"'T1036.004', 'T1036.005', 'T1082', 'T1132.001', 'T1070.004', 'T1543.002', 'T1027', 'T1547.013', 'T1083', 'T1056.001', 'T1057', 'T1059.004'"
282,"'T1027.003', 'T1573.002', 'T1218.007', 'T1027.002', 'T1105', 'T1106', 'T1547.001', 'T1069', 'T1566.001', 'T1047', 'T1055.004', 'T1185', 'T1027', 'T1082', 'T1059.005', 'T1053.005', 'T1087.002', 'T1204.002', 'T1071.001'"
283,"'T1027.002', 'T1071.001', 'T1070.004', 'T1056.001', 'T1082', 'T1033', 'T1105', 'T1113', 'T1057', 'T1560', 'T1518.001', 'T1016', 'T1123', 'T1119', 'T1140', 'T1115', 'T1027'"
284,"'T1497.001', 'T1197', 'T1105', 'T1071.001', 'T1102.002', 'T1057', 'T1094', 'T1059.003', 'T1027'"
285,"'T1005', 'T1041', 'T1547.009', 'T1197', 'T1056.001', 'T1036.005', 'T1518.001', 'T1071.001', 'T1105', 'T1555.005', 'T1074.001', 'T1106', 'T1547.001', 'T1057', 'T1083', 'T1059.003', 'T1033', 'T1082', 'T1518', 'T1113', 'T1614.001', 'T1115'"
286,"'T1132.001', 'T1059.001', 'T1560.001', 'T1070.004', 'T1071.001', 'T1016', 'T1057', 'T1112', 'T1082', 'T1041', 'T1547.001', 'T1564.003', 'T1033', 'T1059.005'"
287,"'T1027', 'T1547.009', 'T1543.003', 'T1016', 'T1010', 'T1485', 'T1057', 'T1087.001', 'T1132.001', 'T1047', 'T1102.002', 'T1125', 'T1071.001', 'T1113', 'T1083', 'T1082', 'T1029', 'T1547.001', 'T1055.001', 'T1105', 'T1059.004', 'T1033', 'T1005', 'T1069.001', 'T1074.001', 'T1008', 'T1090.001', 'T1071.002', 'T1059.003', 'T1070.004'"
288,"'T1056.001', 'T1074.001', 'T1055', 'T1071.003', 'T1105', 'T1082', 'T1059.003', 'T1547.001', 'T1057'"
289,"'T1547.001', 'T1082', 'T1123', 'T1059', 'T1056.001', 'T1112', 'T1562.001', 'T1059.003', 'T1105', 'T1021.001', 'T1027.002', 'T1057', 'T1125', 'T1562.004', 'T1033', 'T1071.001', 'T1115', 'T1036.005'"
290,"'T1041', 'T1573.001', 'T1059.003', 'T1071', 'T1095', 'T1057', 'T1094', 'T1071.001', 'T1008', 'T1083', 'T1568', 'T1547.001'"
291,"'T1082', 'T1189', 'T1057', 'T1102.002', 'T1083', 'T1113'"
292,"'T1614', 'T1218.010', 'T1218.007', 'T1569.002', 'T1564.006', 'T1486', 'T1543.003', 'T1562.001', 'T1120', 'T1490', 'T1218.011', 'T1059.003', 'T1489'"
293,"'T1036', 'T1547.001', 'T1071.001', 'T1005', 'T1012', 'T1218.011', 'T1027', 'T1027.001', 'T1057', 'T1059.001', 'T1082', 'T1083', 'T1016', 'T1008', 'T1027.002', 'T1573.001', 'T1140', 'T1106', 'T1497.003', 'T1090.001', 'T1070.004'"
294,"'T1497.001', 'T1046', 'T1071', 'T1047', 'T1105', 'T1059.003', 'T1027.002', 'T1570', 'T1210', 'T1110.001', 'T1053.005', 'T1021.002', 'T1082', 'T1033', 'T1012', 'T1016', 'T1573.001', 'T1140', 'T1498', 'T1057', 'T1049', 'T1547.001', 'T1070.001', 'T1496'"
295,"'T1083', 'T1553.006', 'T1055.001', 'T1574.010', 'T1552.001', 'T1008', 'T1056.001', 'T1120', 'T1548.002', 'T1016', 'T1057', 'T1543.003', 'T1082', 'T1021.002', 'T1049', 'T1547.001', 'T1070', 'T1555.003', 'T1113', 'T1071.001', 'T1070.001', 'T1047', 'T1547.009', 'T1046', 'T1485'"
296,"'T1112', 'T1070.004', 'T1053.005', 'T1016', 'T1021.002', 'T1033', 'T1083', 'T1021.001', 'T1082', 'T1543.003', 'T1059.003'"
297,"'T1564.004', 'T1014'"
298,"'T1036.004', 'T1112', 'T1124', 'T1106', 'T1529', 'T1027', 'T1543.003', 'T1486'"
299,"'T1497.003', 'T1124', 'T1036.005', 'T1071.001', 'T1027', 'T1005', 'T1018', 'T1622', 'T1106', 'T1027.002', 'T1033', 'T1057', 'T1105'"
300,"'T1574.001', 'T1140', 'T1129', 'T1027', 'T1553.002'"
301,"'T1005', 'T1016', 'T1560.003', 'T1027', 'T1057', 'T1070', 'T1059.003', 'T1083', 'T1016.001', 'T1106', 'T1140', 'T1070.004', 'T1012', 'T1041', 'T1564.001', 'T1082', 'T1573.002', 'T1033', 'T1071.001'"
302,'T1505.003'
303,"'T1047', 'T1210', 'T1518.001', 'T1036', 'T1070.001', 'T1003.001', 'T1078.003', 'T1083', 'T1569.002', 'T1053.005', 'T1218.011', 'T1021.002', 'T1529', 'T1486'"
304,"'T1059.003', 'T1548.002', 'T1090.002', 'T1008', 'T1029', 'T1027.002', 'T1036.004', 'T1112', 'T1543.003', 'T1106', 'T1070.004', 'T1546.011', 'T1027', 'T1140', 'T1071.001', 'T1005', 'T1105', 'T1547.001', 'T1083', 'T1135', 'T1574'"
305,"'T1105', 'T1560', 'T1029', 'T1027', 'T1033', 'T1082', 'T1113', 'T1074.001', 'T1016', 'T1041', 'T1106', 'T1140', 'T1005'"
306,"'T1566.001', 'T1497.003', 'T1083', 'T1560.002', 'T1082', 'T1204.002', 'T1140', 'T1016', 'T1005', 'T1105'"
307,"'T1083', 'T1204.001', 'T1030', 'T1027.003', 'T1113', 'T1120', 'T1125', 'T1497.001', 'T1025', 'T1057', 'T1074.001', 'T1547.001', 'T1033', 'T1082'"
308,"'T1049', 'T1087.001', 'T1018', 'T1057', 'T1083', 'T1027'"
309,"'T1140', 'T1106', 'T1547.001', 'T1047', 'T1016', 'T1489', 'T1614.001', 'T1562.001', 'T1486', 'T1490', 'T1027', 'T1083', 'T1135', 'T1548.002', 'T1057', 'T1112', 'T1059.007'"
310,"'T1210', 'T1105', 'T1124', 'T1091', 'T1490', 'T1027', 'T1568.002', 'T1562.001', 'T1112', 'T1046', 'T1021.002', 'T1543.003', 'T1547.001'"
311,"'T1547.001', 'T1132.001', 'T1071.001', 'T1069.001', 'T1010', 'T1059.003', 'T1070', 'T1566.001', 'T1041', 'T1005', 'T1029', 'T1033', 'T1059.005', 'T1057', 'T1105', 'T1614.001', 'T1018', 'T1049', 'T1135', 'T1106', 'T1027', 'T1204.002', 'T1016', 'T1036'"
312,"'T1059.003', 'T1027', 'T1071.001', 'T1218.010', 'T1573.001', 'T1547.001', 'T1070.004', 'T1573.002', 'T1105'"
313,"'T1059.007', 'T1105', 'T1016', 'T1566.002', 'T1082', 'T1005', 'T1204.001', 'T1018', 'T1518', 'T1553.002', 'T1518.001'"
314,"'T1056.001', 'T1083', 'T1082', 'T1555.003', 'T1113', 'T1033', 'T1070.004', 'T1071.002', 'T1057', 'T1106'"
315,"'T1005', 'T1070.004', 'T1037.004', 'T1059.004', 'T1036.005', 'T1543.004', 'T1082', 'T1543.001', 'T1016', 'T1546.004', 'T1555.001', 'T1090', 'T1140', 'T1027', 'T1036.004', 'T1547.015', 'T1071.004', 'T1124'"
316,"'T1046', 'T1505.003', 'T1105', 'T1027.002', 'T1083', 'T1071.001', 'T1070.006', 'T1110.001', 'T1059.003', 'T1005'"
317,"'T1059.003', 'T1102.002'"
318,"'T1070.004', 'T1486', 'T1529', 'T1553.002', 'T1562.001', 'T1531', 'T1570'"
319,"'T1094', 'T1110', 'T1205', 'T1573.001', 'T1104', 'T1059.004'"
320,"'T1027', 'T1053.005', 'T1055.012', 'T1140'"
321,"'T1059.006', 'T1087.001', 'T1082', 'T1546.009', 'T1071.001', 'T1027', 'T1059.001', 'T1560.001', 'T1105', 'T1218.011', 'T1547.001', 'T1070.004', 'T1129', 'T1140', 'T1518.001', 'T1036.005', 'T1074.001'"
322,"'T1105', 'T1053.003', 'T1124', 'T1140', 'T1071.001', 'T1041', 'T1036.004', 'T1059.003', 'T1001.001', 'T1053.005', 'T1027.002', 'T1497.001', 'T1027', 'T1016', 'T1036.005', 'T1573.002', 'T1497.003'"
323,"'T1057', 'T1486', 'T1135', 'T1047', 'T1082', 'T1490'"
324,"'T1027.001', 'T1140', 'T1105', 'T1027.002', 'T1055', 'T1106'"
325,"'T1105', 'T1001.003', 'T1070.006', 'T1113', 'T1083', 'T1543.003', 'T1564.003', 'T1056.001', 'T1082', 'T1555.003', 'T1027', 'T1059.001', 'T1559.002', 'T1059.005', 'T1016', 'T1059.006', 'T1547.004', 'T1059.003'"
326,"'T1546.003', 'T1027', 'T1105', 'T1568.002', 'T1030', 'T1573.002', 'T1070.006', 'T1059.001'"
327,"'T1083', 'T1008', 'T1105', 'T1102.001', 'T1082', 'T1090.001', 'T1071.001', 'T1027', 'T1568.002'"
328,"'T1071.001', 'T1070.004', 'T1106', 'T1027.002', 'T1055', 'T1027', 'T1569.002', 'T1007', 'T1140', 'T1105', 'T1113', 'T1574.002'"
329,"'T1480', 'T1553.002', 'T1105', 'T1071.004', 'T1564.004', 'T1053.003', 'T1053.005', 'T1543.003', 'T1071.001', 'T1027', 'T1070.004', 'T1016', 'T1027.002', 'T1008', 'T1021.002', 'T1569.002', 'T1082', 'T1059.003', 'T1095', 'T1059.004'"
330,"'T1053.005', 'T1059.005', 'T1547.001', 'T1071.001', 'T1083', 'T1140', 'T1113', 'T1105', 'T1218.011', 'T1218.005', 'T1106', 'T1059.003', 'T1041', 'T1027.007', 'T1497', 'T1074.001', 'T1070.004'"
331,"'T1622', 'T1555.003', 'T1010', 'T1056.001', 'T1033', 'T1105', 'T1059.005', 'T1123', 'T1106', 'T1566.001', 'T1115', 'T1567.002', 'T1112', 'T1041', 'T1102.002', 'T1027', 'T1140', 'T1071.001', 'T1082', 'T1480.001', 'T1113', 'T1204.002', 'T1055', 'T1555.004', 'T1057', 'T1083', 'T1012', 'T1005', 'T1497.001', 'T1070.004'"
332,"'T1071.001', 'T1105', 'T1132.001', 'T1573.001', 'T1218.011', 'T1082', 'T1027.001', 'T1071.003', 'T1547.001', 'T1027'"
333,"'T1115', 'T1059.003', 'T1056.001', 'T1562.001', 'T1070.001', 'T1560', 'T1547.001', 'T1082', 'T1070.004'"
334,"'T1106', 'T1049', 'T1486', 'T1007', 'T1140', 'T1490', 'T1083', 'T1059.003', 'T1562.001', 'T1082', 'T1027.002', 'T1489', 'T1135', 'T1057'"
335,"'T1027', 'T1573.002', 'T1129', 'T1074.001', 'T1010', 'T1490', 'T1047', 'T1568.002', 'T1053.005', 'T1059.007', 'T1036', 'T1033', 'T1071.001', 'T1112', 'T1140', 'T1059.001', 'T1518.001', 'T1005', 'T1012', 'T1614', 'T1132.001', 'T1027.004', 'T1082', 'T1124', 'T1056.001', 'T1217', 'T1070.004', 'T1083', 'T1070', 'T1120', 'T1566.001', 'T1059.003'"
