,TTPs
20,"'T1082', 'T1558.001', 'T1003.002', 'T1069.002', 'T1007', 'T1018', 'T1003.001', 'T1078.004', 'T1057', 'T1543.003', 'T1033', 'T1087.001', 'T1587.001', 'T1071.004', 'T1056.001', 'T1027', 'T1036.002', 'T1087.002', 'T1021.002', 'T1560.001', 'T1059', 'T1041', 'T1083', 'T1105', 'T1133', 'T1547.001', 'T1119', 'T1049', 'T1213.002', 'T1036.005', 'T1614.001', 'T1003.003', 'T1114.002', 'T1059.003', 'T1016', 'T1005', 'T1078', 'T1003.004', 'T1569.002', 'T1140', 'T1560', 'T1020', 'T1588.002', 'T1190', 'T1071.001'"
21,"'T1105', 'T1547.001', 'T1027', 'T1564.001', 'T1052.001', 'T1053.005', 'T1204.001', 'T1071.001', 'T1049', 'T1518', 'T1574.002', 'T1608', 'T1119', 'T1583.001', 'T1091', 'T1070.004', 'T1204.002', 'T1036.005', 'T1566.001', 'T1027.001', 'T1608.001', 'T1585.002', 'T1560.001', 'T1083', 'T1218.004', 'T1059.005', 'T1560.003', 'T1057', 'T1218.005', 'T1082', 'T1102', 'T1573.001', 'T1566.002', 'T1036.007', 'T1203', 'T1059.001', 'T1546.003', 'T1074.001', 'T1047', 'T1003.003', 'T1016', 'T1059.003', 'T1219'"
22,"'T1583.001', 'T1587', 'T1027.002', 'T1114.003', 'T1111', 'T1041', 'T1564.003', 'T1594', 'T1016', 'T1059.001', 'T1562.001', 'T1591', 'T1098', 'T1585.002', 'T1587.001', 'T1070.004', 'T1055', 'T1218.005', 'T1036.004', 'T1074.001', 'T1583.004', 'T1136.001', 'T1543.003', 'T1112', 'T1059.006', 'T1055.012', 'T1036', 'T1608.001', 'T1114.002', 'T1133', 'T1005', 'T1082', 'T1518.001', 'T1204.001', 'T1593.002', 'T1176', 'T1071.002', 'T1059.005', 'T1588.002', 'T1040', 'T1071.001', 'T1190', 'T1585.001', 'T1056.001', 'T1593.001', 'T1219', 'T1589.002', 'T1053.005', 'T1059.007', 'T1583.006', 'T1218.010', 'T1598.003', 'T1505.003', 'T1071.003', 'T1566.002', 'T1140', 'T1567.002', 'T1557', 'T1547.001', 'T1027', 'T1552.001', 'T1560.003', 'T1012', 'T1105', 'T1021.001', 'T1070.006', 'T1586.002', 'T1564.002', 'T1204.002', 'T1560.001', 'T1036.005', 'T1553.002', 'T1546.001', 'T1003.001', 'T1057', 'T1555.003', 'T1584.001', 'T1562.004', 'T1059.003', 'T1102.002', 'T1083', 'T1007', 'T1218.011', 'T1534', 'T1550.002', 'T1589.003', 'T1588.005', 'T1078.003', 'T1566.001'"
23,"'T1068', 'T1036.005', 'T1588.002', 'T1105', 'T1204.002', 'T1003.001', 'T1059', 'T1027', 'T1574.001'"
24,"'T1003.001', 'T1078', 'T1204.002', 'T1047', 'T1140', 'T1059.005', 'T1566.001', 'T1059.001', 'T1589.001', 'T1547.001', 'T1102.003', 'T1204.001', 'T1585.002', 'T1133', 'T1189', 'T1505.003', 'T1534', 'T1547.009', 'T1074.001', 'T1027', 'T1021.001', 'T1572', 'T1055.001', 'T1105', 'T1566.002', 'T1218.010', 'T1074.002', 'T1586.002', 'T1203', 'T1583.001', 'T1021.004', 'T1560', 'T1553.002', 'T1003', 'T1546.003', 'T1567.002', 'T1041', 'T1585.001', 'T1027.003', 'T1586.001', 'T1559.002', 'T1027.001', 'T1090.003', 'T1197'"
25,"'T1553.002', 'T1566.002', 'T1071.001', 'T1486', 'T1027.002', 'T1559.002', 'T1218.011', 'T1087.003', 'T1566.001', 'T1055.001', 'T1218.007', 'T1059.007', 'T1078.002', 'T1027', 'T1204.001', 'T1555.003', 'T1059.005', 'T1553.005', 'T1204.002', 'T1105', 'T1059.003', 'T1059.001', 'T1552.001', 'T1568.001', 'T1069'"
26,"'T1056.001', 'T1552.001', 'T1082', 'T1053.005', 'T1574.002', 'T1041', 'T1090.002', 'T1070.004', 'T1543.003', 'T1560.001', 'T1049', 'T1104', 'T1065', 'T1003.001', 'T1059.003', 'T1027.002', 'T1069', 'T1204.001', 'T1078.002', 'T1059.001', 'T1555.003', 'T1074.001', 'T1021.002', 'T1098', 'T1110.002', 'T1203', 'T1018', 'T1547.001', 'T1136.001', 'T1566.002', 'T1027.005', 'T1546.008', 'T1021.001', 'T1016', 'T1043', 'T1027', 'T1105', 'T1083', 'T1087.001', 'T1218.011', 'T1057', 'T1033', 'T1564.003', 'T1005', 'T1095'"
27,"'T1074.001', 'T1070.004', 'T1021.001', 'T1078', 'T1065', 'T1070.006', 'T1027.005', 'T1003.001', 'T1043', 'T1021.004', 'T1505.003', 'T1583.003', 'T1133', 'T1053.005', 'T1059.001', 'T1546.012', 'T1571', 'T1588.002', 'T1036.005'"
28,"'T1003.005', 'T1048.003', 'T1069.001', 'T1033', 'T1201', 'T1059.005', 'T1016', 'T1027.005', 'T1555', 'T1027', 'T1021.004', 'T1120', 'T1094', 'T1078', 'T1070.004', 'T1137.004', 'T1204.001', 'T1059.001', 'T1105', 'T1082', 'T1119', 'T1049', 'T1552.001', 'T1555.004', 'T1573.002', 'T1572', 'T1087.001', 'T1140', 'T1555.003', 'T1043', 'T1133', 'T1087.002', 'T1218.001', 'T1204.002', 'T1021.001', 'T1047', 'T1008', 'T1053.005', 'T1012', 'T1007', 'T1071.001', 'T1505.003', 'T1059', 'T1057', 'T1003.001', 'T1036', 'T1071.004', 'T1069.002', 'T1056.001', 'T1059.003', 'T1003.004', 'T1110', 'T1497.001', 'T1046', 'T1566.001', 'T1566.002', 'T1113', 'T1566.003'"
29,
