,Rule,Confidence,Support,Lift
1471,"(""'T1033'"", ""'T1518'"") -> (""'T1082'"",)",0.98,0.06568364611260054,2.249476923076924
624,"(""'T1218'"", ""'T1566'"") -> (""'T1204'"",)",0.979591836734694,0.064343163538874,5.005311713726586
3188,"(""'T1071'"", ""'T1547'"", ""'T1566'"") -> (""'T1204'"",)",0.979591836734694,0.064343163538874,5.005311713726586
795,"(""'T1218'"", ""'T1566'"") -> (""'T1059'"",)",0.979591836734694,0.064343163538874,1.7399416909620993
5479,"(""'T1027'"", ""'T1070'"", ""'T1566'"") -> (""'T1059'"",)",0.979591836734694,0.064343163538874,1.7399416909620993
2885,"(""'T1204'"", ""'T1218'"", ""'T1566'"") -> (""'T1059'"",)",0.9791666666666666,0.06300268096514745,1.739186507936508
2884,"(""'T1059'"", ""'T1218'"", ""'T1566'"") -> (""'T1204'"",)",0.9791666666666666,0.06300268096514745,5.003139269406391
3358,"(""'T1070'"", ""'T1105'"", ""'T1566'"") -> (""'T1204'"",)",0.9787234042553192,0.06166219839142091,5.0008743806470415
4005,"(""'T1070'"", ""'T1105'"", ""'T1566'"") -> (""'T1059'"",)",0.9787234042553192,0.06166219839142091,1.7383991894630193
3437,"(""'T1071'"", ""'T1082'"", ""'T1566'"") -> (""'T1204'"",)",0.9787234042553192,0.06166219839142091,5.0008743806470415
2323,"(""'T1027'"", ""'T1218'"", ""'T1566'"") -> (""'T1204'"",)",0.9782608695652174,0.060321715817694375,4.998511018463371
5374,"(""'T1027'"", ""'T1218'"", ""'T1566'"") -> (""'T1059'"",)",0.9782608695652174,0.060321715817694375,1.7375776397515523
639,"(""'T1105'"", ""'T1566'"") -> (""'T1204'"",)",0.9775280898876404,0.11662198391420912,4.9947668154532865
5310,"(""'T1027'"", ""'T1083'"", ""'T1566'"") -> (""'T1059'"",)",0.9772727272727272,0.05764075067024128,1.735822510822511
6120,"(""'T1036'"", ""'T1105'"", ""'T1218'"") -> (""'T1027'"",)",0.9772727272727272,0.05764075067024128,2.013937719738825
2597,"(""'T1033'"", ""'T1105'"", ""'T1518'"") -> (""'T1082'"",)",0.9772727272727272,0.05764075067024128,2.2432167832167833
4765,"(""'T1005'"", ""'T1070'"", ""'T1547'"") -> (""'T1059'"",)",0.9772727272727272,0.05764075067024128,1.735822510822511
3264,"(""'T1082'"", ""'T1140'"", ""'T1566'"") -> (""'T1204'"",)",0.9772727272727272,0.05764075067024128,4.99346201743462
1936,"(""'T1036'"", ""'T1547'"", ""'T1566'"") -> (""'T1204'"",)",0.9767441860465116,0.05630026809651475,4.990761388977382
3273,"(""'T1083'"", ""'T1105'"", ""'T1566'"") -> (""'T1204'"",)",0.9767441860465116,0.05630026809651475,4.990761388977382
6160,"(""'T1036'"", ""'T1071'"", ""'T1218'"") -> (""'T1027'"",)",0.9767441860465116,0.05630026809651475,2.0128485159964025
2082,"(""'T1036'"", ""'T1071'"", ""'T1566'"") -> (""'T1059'"",)",0.9767441860465116,0.05630026809651475,1.7348837209302326
6254,"(""'T1057'"", ""'T1204'"", ""'T1547'"") -> (""'T1027'"",)",0.9767441860465116,0.05630026809651475,2.0128485159964025
3281,"(""'T1105'"", ""'T1218'"", ""'T1566'"") -> (""'T1204'"",)",0.9761904761904762,0.054959785522788206,4.9879321591650365
2941,"(""'T1105'"", ""'T1218'"", ""'T1566'"") -> (""'T1059'"",)",0.9761904761904762,0.054959785522788206,1.7339002267573698
4443,"(""'T1016'"", ""'T1082'"", ""'T1566'"") -> (""'T1204'"",)",0.9761904761904762,0.054959785522788206,4.9879321591650365
4371,"(""'T1016'"", ""'T1027'"", ""'T1566'"") -> (""'T1204'"",)",0.9761904761904762,0.054959785522788206,4.9879321591650365
1930,"(""'T1036'"", ""'T1082'"", ""'T1566'"") -> (""'T1204'"",)",0.9761904761904762,0.054959785522788206,4.9879321591650365
3939,"(""'T1070'"", ""'T1071'"", ""'T1566'"") -> (""'T1059'"",)",0.9761904761904762,0.054959785522788206,1.7339002267573698
2184,"(""'T1053'"", ""'T1082'"", ""'T1547'"") -> (""'T1059'"",)",0.9761904761904762,0.054959785522788206,1.7339002267573698
6102,"(""'T1036'"", ""'T1082'"", ""'T1218'"") -> (""'T1027'"",)",0.9761904761904762,0.054959785522788206,2.011707445409103
6142,"(""'T1036'"", ""'T1070'"", ""'T1218'"") -> (""'T1027'"",)",0.975609756097561,0.05361930294906166,2.0105107128419357
3792,"(""'T1071'"", ""'T1083'"", ""'T1566'"") -> (""'T1059'"",)",0.975609756097561,0.05361930294906166,1.7328687572590011
4041,"(""'T1070'"", ""'T1083'"", ""'T1204'"") -> (""'T1059'"",)",0.975,0.05227882037533512,1.7317857142857145
